COCKERELL, WILLIAM A.	
COCKERHAM, DAVID	
COCKRAM, BEN	
CODRINGTON, RICHARD J.	
COE, WILLIAM J.	
COGHILL, JOHN P.	
COHEN, SIR EDGAR A.	
COKE-WALLIS, LEONARD G.	
COLE, SIR DAVID L.	
COLE, TIMOTHY M.	Q56798127
COLEMAN, BERNARD	
COLES, SIR A. JOHN	
COLES, AUGUSTUS L.	
COLLARD, DOUGLAS R.	
COLLARD, IAN F.	
COLLARD, TIMOTHY (TIM) M.	
COLLECOTT, PETER S.	Q7173329
COLLIER, SIR LAURENCE	
COLLINS, SIR ALAN S.	
COLLINS, ARTHUR J.	
COLLINS, MICHAEL B.	
COLLIS, SIMON P.	
COLNAGHI, SIR DOMINIC E.	
COLQUHOUN, SIR ROBERT G.	
COLTMAN, SIR A. LEYCESTER S.	Q710385
COLVIN, DAVID H.	
COLVIN, JOHN H.R.	Q6239849
COLVIN, KATHRYN F.	Q6377020
COMBS, SIR WILLIS I.	
COMFORT, ANTHONY F.	
CONCAR, DAVID W.	
CONDON, DENIS D.	
CONNELLY, BRIAN N.	
CONNOR, MICHAEL H.	
CONNOR, MICHAEL L.	
CONROY, ANNE (ANNELI) E.	
CONYNGHAM, Hon. ALBERT D.	
COOK, BERNARD C.A.	
COOK, ERIC W.	
COOK, FRANK A.G.	
COOK, MICHAEL E.	
COOKE, SARAH C.	
COOKSON, SIR CHARLES A.	
COOMBS, KAY	
COOPER, Rt. Hon. Sir ALFRED DUFF	
COOPER, SIR ROBERT F.	
COPE, EDMUND W.	
COPE, WALTER	
COPSON, MICHAEL J	
CORBETT, EDWIN	Q15989924
CORBETT, SIR VINCENT E.H.	
CORDINER, WILLIAM L.	Q56798147
CORLEY SMITH, GERARD T.	Q5549962
CORMACK, ROBERT L.B.	
CORNER, DIANE L.	Q17465910
CORNISH, R. FRANCIS	
CORNWALLIS, SIR KINAHAN	Q4116169
CORTAZZI, SIR H.A. HUGH	Q3246898
COSTAR, SIR NORMAN E.	
COSTLEY-WHITE, CYRIL G	
COTTON, SIR JOHN R.	
COULSON, SIR JOHN E.	
COULTAS, FREDERICK G.	
COURT, ROBERT V.	
COVERLEY-PRICE, A. VICTOR	Q21462566
COWELL, A.J. HAMISH	
COWLEY, RICHARD L.	
COWLEY, SARAH	Q56794419
COWLING, GEOFFREY S.	
COWLING, J. ROY	
COWPER, Hon. CHARLES S.	
COWPER, HENRY A.	
COWPER-COLES, SIR SHERARD L.	Q30941606
COX, NIGEL J.	
COX, NORMAN E.	
CRABBIE, CHRISTOPHER D.	
CRACKANTHORPE, DAYRELL E.M.	
CRADDOCK, TIMOTHY J.	
CRADOCK, SIR PERCY	Q7167292
CRAIG, SIR A. JAMES M.	
CRAIG, LESLEY	
CRAIGIE, Rt. Hon. SIR ROBERT L.	Q2597538
CRAMPTON, SIR JOHN F.T., Bt.	
CRANSTON, WILLIAM P.	
CRAVEN, AUGUSTUS D.	
CRAWFORD, CHARLES G.	
CRAWFORD, DAVID G.	
CRAWFORD, JOSEPH T.	
CRAWFORD, SIR R. STEWART	
CRAWLEY, DESMOND J.C.	Q5264698
CREEK, MALCOLM L.	Q56798156
CREES, IAN A.	
CRELLIN, JOANNA	
CRESSWELL, JEREMY M.	
CRESWELL, SIR MICHAEL J.	Q6829543
